CIK,Ticker,Name,Exchange
1800,ABT,Abbott Laboratories,NYSE
4904,AEP,American Electric Power Co Inc,Nasdaq
18230,CAT,Caterpillar Inc,NYSE
19617,JPM,Jpmorgan Chase & Co,NYSE
21344,KO,Coca Cola Co,NYSE
31462,ECL,Ecolab Inc.,NYSE
34088,XOM,Exxon Mobil Corp,NYSE
40545,GE,General Electric Co,NYSE
50863,INTC,Intel Corp,Nasdaq
63908,MCD,Mcdonalds Corp,NYSE
66740,MMM,3M Co,NYSE
70858,BAC,Bank Of America Corp /De/,NYSE
72971,WFC,Wells Fargo & Company/Mn,NYSE
77476,PEP,Pepsico Inc,Nasdaq
78003,PFE,Pfizer Inc,NYSE
80424,PG,Procter & Gamble Co,NYSE
89800,SHW,Sherwin Williams Co,NYSE
93410,CVX,Chevron Corp,NYSE
100885,UNP,Union Pacific Corp,NYSE
104169,WMT,Walmart Inc.,NYSE
200406,JNJ,Johnson & Johnson,NYSE
310158,MRK,"Merck & Co., Inc.",NYSE
320187,NKE,"Nike, Inc.",NYSE
320193,AAPL,Apple Inc.,Nasdaq
354950,HD,"Home Depot, Inc.",NYSE
715957,D,"Dominion Energy, Inc",NYSE
731766,UNH,Unitedhealth Group Inc,NYSE
732712,VZ,Verizon Communications Inc,NYSE
732717,T,At&T Inc.,NYSE
753308,NEE,Nextera Energy Inc,NYSE
773840,HON,Honeywell International Inc,Nasdaq
789019,MSFT,Microsoft Corp,Nasdaq
821189,EOG,Eog Resources Inc,NYSE
831259,FCX,Freeport-Mcmoran Inc,NYSE
886982,GS,Goldman Sachs Group Inc,NYSE
1018724,AMZN,Amazon Com Inc,Nasdaq
1045609,PLD,"Prologis, Inc.",NYSE
1053507,AMT,American Tower Corp /Ma/,NYSE
1063761,SPG,Simon Property Group Inc /De/,NYSE
1091667,CHTR,"Charter Communications, Inc. /Mo/",Nasdaq
1101239,EQIX,Equinix Inc,Nasdaq
1109357,EXC,Exelon Corp,Nasdaq
1163165,COP,Conocophillips,NYSE
1164727,NEM,Newmont Corp /De/,NYSE
1166691,CMCSA,Comcast Corp,Nasdaq
1326160,DUK,Duke Energy Corp,NYSE
1393311,PSA,Public Storage,NYSE
1413329,PM,Philip Morris International Inc.,NYSE
1534701,PSX,Phillips 66,NYSE
1652044,GOOGL,Alphabet Inc.,Nasdaq
1744489,DIS,Walt Disney Co,NYSE
1751788,DOW,Dow Inc.,NYSE
